image_name,x_min,y_min,x_max,y_max,label,CaloriesPerServing
kanda-bhaji-recipe-1a-500x500_jpg.rf.aba3a7d8d836dfc89571a250b465864c.jpg,72,9,639.814,639.743,OnionPakoda,315
kanda-bhaji-recipe-1a-500x500_jpg.rf.aba3a7d8d836dfc89571a250b465864c.jpg,106,2,295.443,67.282,GreenChutney,40
R-17-_jpg.rf.abe19289e71a670d2f1259cf5bfef276.jpg,197,86,547.5699999999999,285.929,Kulfi,190
R-17-_jpg.rf.abe19289e71a670d2f1259cf5bfef276.jpg,241,277,520.973,589.389,Kulfi,190
bowl-palak-paneer-made-cheese-dipped-mildly-spiced-spinach-gravy-wooden-background-187029032_jpg.rf.abb1ac8192c6cd9b36dc931a8f6fc8a8.jpg,56,36,639.982,594.498,PalakPaneer,240
th-1-_jpg.rf.abdeebe3f5a56b6b3c730f41989e61e0.jpg,281,179,551.328,432.449,Samosa,262
b2d75df2dd0a15c16490c4e9c66cb9b8_jpg.rf.ac38d20a769bda668374f6c37e45b78e.jpg,86,56,600.919,598.758,GreenChutney,40
ghevar1_jpg.rf.abac21c91e8fb389f3850f495fc8e986.jpg,3,71,301.673,351.363,Ghevar,400
ghevar1_jpg.rf.abac21c91e8fb389f3850f495fc8e986.jpg,254,392,546.365,520.351,Ghevar,400
kheer-1_jpg.rf.abaf60966ba39c6fc4c293e135842219.jpg,113,104,512.861,476.019,Kheer,300
maxresdefault-7-_jpg.rf.abcee7c28283a24edbb97cab717a09a6.jpg,343,182,640.419,491.262,Bhatura,300
maxresdefault-7-_jpg.rf.abcee7c28283a24edbb97cab717a09a6.jpg,36,309,587.876,638.2429999999999,Bhatura,300
maxresdefault-7-_jpg.rf.abcee7c28283a24edbb97cab717a09a6.jpg,238,95,461.836,293.841,Chole,350
Instant-Jalebi-1-Copy_jpg.rf.ac30547b64aed7173af0c309cdd0670f.jpg,186,0,570.204,509.677,Jalebi,150
maxresdefault-4-_jpg.rf.ac61f3d07988cbba35ce7e3363137c06.jpg,0,143,529.74,506.089,GreenChutney,40
R-22-_jpg.rf.abec4f3382d1eb8d42eef5331e107404.jpg,0,9,636.961,640.037,AlooMasala,200
image-26-875x1024_jpg.rf.ac5f8c83973b44bcaf3bc65b5325808a.jpg,47,93,490.496,526.278,ShahiPaneer,400
2-4_jpg.rf.ac0f3404df01ca708d29f5a4db70e0ef.jpg,223,347,425.791,416.175,Chai,105
Bhindi-Masala-3-_jpg.rf.ac50269fc72ae845c5c7de48b0c63b6e.jpg,106,62,490.972,580.375,BhindiMasala,150
Jalebi-in-Kathmandu-1024x768_jpg.rf.ac11dab08ca726d2908f264aab200ad9.jpg,1,20,640.302,640.0,Jalebi,150
R-41-_jpg.rf.ac478343a7d25c5398166590e3c7f4e0.jpg,173,84,640.423,498.581,AlooMasala,200
